MaskedP,Band,R2_UV,R2_BV,Time_UV,Time_BV,Diff_Time
11.8,1,0.10228595,0.376129176,122.4,368,200.6535948
11.8,2,0.345872353,0.601261918,74.8,447.4,498.1283422
11.8,3,0.410062106,0.708588225,106.4,515.4,384.3984962
11.8,4,0.682609914,0.844663757,65.2,176.8,171.1656442
11.8,5,0.595906129,0.778806694,72.8,178.2,144.7802198
11.8,6,0.493642221,0.758168537,95.8,765.2,698.7473904
15.94,1,0.58911373,0.645332852,354.8,664.6,87.3167982
15.94,2,0.784653629,0.819268671,236.4,593.4,151.0152284
15.94,3,0.804937332,0.856597412,350.4,833,137.7283105
15.94,4,0.939259949,0.956996276,88.2,661.6,650.1133787
15.94,5,0.878092558,0.915081444,183.4,1057.4,476.5539804
15.94,6,0.811218094,0.86676432,734.8,1772.2,141.1812738
27.26,1,0.164194576,0.377752409,302.2,839.8,177.8954335
27.26,2,0.39765772,0.570494564,203,848.8,318.1280788
27.26,3,0.471869651,0.634669008,300,1216,305.3333333
27.26,4,0.640485439,0.796149539,188.6,1791.6,849.9469777
27.26,5,0.437615104,0.692994613,230.4,1001,334.4618056
27.26,6,0.386767612,0.635842247,677.2,2374,250.5611341
34.76,1,-0.115983965,-0.057565725,142.2,388.8,173.4177215
34.76,2,-0.191979267,-0.20648956,126,611.8,385.5555556
34.76,3,-0.216709909,-0.226499822,225.8,856.2,279.1851196
34.76,4,-0.316303141,-0.325716596,105.2,713.2,577.9467681
34.76,5,-0.263450701,-0.261220201,274.6,1522.8,454.5520757
34.76,6,-0.251043522,-0.261162213,594,3079,418.3501684
