Iteration,Location,Date_Ref,Date_Target,MaskedP,Band,n1,n2,t1,f,minNx,w1,w2,MSLE,MSE,R2,UP,KP,Total_Time_Sec,Time_Sec,Time_Min,Time_Hours,Time_Days
1,france,20010126,20051223,8.94,1,14,200,0.01,1.0,4,0.5,0.5,0.0007214535630215496,65855.15530990486,0.6303223829836553,0.0,100.0,348.0,47.55265429999997,5.0,0.0,0.0
2,france,20010126,20051223,8.94,1,14,200,0.01,1.0,4,0.5,0.5,0.0007214535630215496,65855.15530990486,0.6303223829836553,0.0,100.0,333.0,32.945165299999985,5.0,0.0,0.0
3,france,20010126,20051223,8.94,1,14,200,0.01,1.0,4,0.5,0.5,0.0007214535630215496,65855.15530990486,0.6303223829836553,0.0,100.0,335.0,35.365194900000006,5.0,0.0,0.0
4,france,20010126,20051223,8.94,1,14,200,0.01,1.0,4,0.5,0.5,0.0007214535630215496,65855.15530990486,0.6303223829836553,0.0,100.0,340.0,40.149575200000015,5.0,0.0,0.0
5,france,20010126,20051223,8.94,1,14,200,0.01,1.0,4,0.5,0.5,0.0007214535630215496,65855.15530990486,0.6303223829836553,0.0,100.0,351.0,50.67300990000001,5.0,0.0,0.0
1,france,20010126,20051223,8.94,2,14,200,0.01,1.0,4,0.5,0.5,0.000842343039639859,85513.50145740526,0.8261603460334481,0.0,100.0,332.0,32.24261710000002,5.0,0.0,0.0
2,france,20010126,20051223,8.94,2,14,200,0.01,1.0,4,0.5,0.5,0.0008423885536569151,85516.66820656657,0.8261539083765985,0.0,100.0,336.0,36.11708920000001,5.0,0.0,0.0
3,france,20010126,20051223,8.94,2,14,200,0.01,1.0,4,0.5,0.5,0.0008423448928977309,85513.62448440852,0.8261600959329224,0.0,100.0,343.0,43.192936599999996,5.0,0.0,0.0
4,france,20010126,20051223,8.94,2,14,200,0.01,1.0,4,0.5,0.5,0.000842376965775692,85515.86888852225,0.8261555333033044,0.0,100.0,336.0,35.67527319999999,5.0,0.0,0.0
5,france,20010126,20051223,8.94,2,14,200,0.01,1.0,4,0.5,0.5,0.0008423766507669392,85515.79612825166,0.8261556812170261,0.0,100.0,344.0,44.144788000000005,5.0,0.0,0.0
1,france,20010126,20051223,8.94,3,14,200,0.01,1.0,4,0.5,0.5,0.0011192978577147916,112982.08683935544,0.8796919742488885,0.0,100.0,657.0,56.507816400000024,10.0,0.0,0.0
2,france,20010126,20051223,8.94,3,14,200,0.01,1.0,4,0.5,0.5,0.001119179980201957,112975.34598251113,0.8796991521936538,0.0,100.0,656.0,56.31494520000001,10.0,0.0,0.0
3,france,20010126,20051223,8.94,3,14,200,0.01,1.0,4,0.5,0.5,0.0011192749196483386,112980.76604520706,0.8796933806854383,0.0,100.0,658.0,57.93069730000002,10.0,0.0,0.0
4,france,20010126,20051223,8.94,3,14,200,0.01,1.0,4,0.5,0.5,0.0011191705487330157,112974.76577022494,0.8796997700278311,0.0,100.0,657.0,57.06728420000002,10.0,0.0,0.0
5,france,20010126,20051223,8.94,3,14,200,0.01,1.0,4,0.5,0.5,0.0011191975818082014,112976.31507452016,0.8796981202641715,0.0,100.0,661.0,0.536986899999988,11.0,0.0,0.0
1,france,20010126,20051223,8.94,4,14,200,0.01,1.0,4,0.5,0.5,0.0011638034396216435,181881.47868888522,0.9600326335024766,0.0,100.0,334.0,34.08815229999999,5.0,0.0,0.0
2,france,20010126,20051223,8.94,4,14,200,0.01,1.0,4,0.5,0.5,0.0011636321822229324,181872.50035747676,0.9600346064370741,0.0,100.0,331.0,31.110059499999977,5.0,0.0,0.0
3,france,20010126,20051223,8.94,4,14,200,0.01,1.0,4,0.5,0.5,0.0011650626701767836,181952.54506957048,0.9600170170906078,0.0,100.0,332.0,31.568161900000007,5.0,0.0,0.0
4,france,20010126,20051223,8.94,4,14,200,0.01,1.0,4,0.5,0.5,0.001166064558641786,182005.57537260078,0.9600053639988694,0.0,100.0,333.0,32.84025810000003,5.0,0.0,0.0
5,france,20010126,20051223,8.94,4,14,200,0.01,1.0,4,0.5,0.5,0.0011677537883584778,182097.13523620964,0.9599852442667686,0.0,100.0,331.0,31.327864999999974,5.0,0.0,0.0
1,france,20010126,20051223,8.94,5,14,200,0.01,1.0,4,0.5,0.5,0.0016088694081516763,245857.68118572293,0.9282707093311703,0.0,100.0,453.0,32.58556770000001,7.0,0.0,0.0
2,france,20010126,20051223,8.94,5,14,200,0.01,1.0,4,0.5,0.5,0.0016104696373161827,245945.61716988395,0.9282450538961328,0.0,100.0,451.0,30.508550000000014,7.0,0.0,0.0
3,france,20010126,20051223,8.94,5,14,200,0.01,1.0,4,0.5,0.5,0.0016063736004029417,245725.8720233185,0.9283091648216693,0.0,100.0,453.0,32.65639349999998,7.0,0.0,0.0
4,france,20010126,20051223,8.94,5,14,200,0.01,1.0,4,0.5,0.5,0.0016068957453533193,245748.69531980422,0.9283025060959391,0.0,100.0,450.0,30.489005599999984,7.0,0.0,0.0
5,france,20010126,20051223,8.94,5,14,200,0.01,1.0,4,0.5,0.5,0.0016076925426487152,245795.510476819,0.9282888477144355,0.0,100.0,474.0,53.62551079999997,7.0,0.0,0.0
1,france,20010126,20051223,8.94,6,14,200,0.01,1.0,4,0.5,0.5,0.0017815315646790824,180352.546169499,0.8892841751581934,0.0,100.0,956.0,55.75057330000004,15.0,0.0,0.0
2,france,20010126,20051223,8.94,6,14,200,0.01,1.0,4,0.5,0.5,0.0017847029658719447,180515.6636968597,0.8891840396626238,0.0,100.0,934.0,33.74697349999997,15.0,0.0,0.0
3,france,20010126,20051223,8.94,6,14,200,0.01,1.0,4,0.5,0.5,0.0017782156841233965,180173.1719738217,0.8893942903877897,0.0,100.0,928.0,28.437772600000017,15.0,0.0,0.0
4,france,20010126,20051223,8.94,6,14,200,0.01,1.0,4,0.5,0.5,0.001782971205229624,180431.76945498542,0.889235541126761,0.0,100.0,932.0,32.395788599999946,15.0,0.0,0.0
5,france,20010126,20051223,8.94,6,14,200,0.01,1.0,4,0.5,0.5,0.0017817005480001511,180362.2984106033,0.8892781883981455,0.0,100.0,930.0,29.58670570000004,15.0,0.0,0.0
1,france,20010126,20050716,14.23,1,14,200,0.01,1.0,4,0.5,0.5,0.0008019947165566896,74487.24927417892,0.5681030661515142,0.0,100.0,293.0,53.34876200000002,4.0,0.0,0.0
2,france,20010126,20050716,14.23,1,14,200,0.01,1.0,4,0.5,0.5,0.0008047881019965637,74698.60497187443,0.5668775694567698,0.0,100.0,305.0,5.39170660000002,5.0,0.0,0.0
3,france,20010126,20050716,14.23,1,14,200,0.01,1.0,4,0.5,0.5,0.000805153733870617,74739.73911268372,0.5666390627396454,0.0,100.0,295.0,54.75364939999997,4.0,0.0,0.0
4,france,20010126,20050716,14.23,1,14,200,0.01,1.0,4,0.5,0.5,0.0008056280321060991,74769.80008165487,0.5664647612255787,0.0,100.0,303.0,2.7259925999999837,5.0,0.0,0.0
5,france,20010126,20050716,14.23,1,14,200,0.01,1.0,4,0.5,0.5,0.0008063419160516725,74825.93372346216,0.5661392834019436,0.0,100.0,293.0,52.768431599999985,4.0,0.0,0.0
1,france,20010126,20050716,14.23,2,14,200,0.01,1.0,4,0.5,0.5,0.0009238092073833267,95382.2299038287,0.7975090958626669,0.0,100.0,166.0,46.25820580000001,2.0,0.0,0.0
2,france,20010126,20050716,14.23,2,14,200,0.01,1.0,4,0.5,0.5,0.0009236746020702109,95366.4544093631,0.7975425863161905,0.0,100.0,163.0,43.14910850000001,2.0,0.0,0.0
3,france,20010126,20050716,14.23,2,14,200,0.01,1.0,4,0.5,0.5,0.0009254786054483706,95495.40977136637,0.7972688216131454,0.0,100.0,163.0,43.14529039999999,2.0,0.0,0.0
4,france,20010126,20050716,14.23,2,14,200,0.01,1.0,4,0.5,0.5,0.000926806140155987,95596.86790056252,0.7970534319296192,0.0,100.0,162.0,41.86738070000001,2.0,0.0,0.0
5,france,20010126,20050716,14.23,2,14,200,0.01,1.0,4,0.5,0.5,0.0009246249143331505,95436.77830702232,0.7973932927881,0.0,100.0,161.0,41.359634099999994,2.0,0.0,0.0
1,france,20010126,20050716,14.23,3,14,200,0.01,1.0,4,0.5,0.5,0.0013772632604953147,144276.53756124116,0.8394567131309465,0.0,100.0,66.0,5.637802199999996,1.0,0.0,0.0
2,france,20010126,20050716,14.23,3,14,200,0.01,1.0,4,0.5,0.5,0.0013727235134465385,143976.50054436582,0.8397905784266195,0.0,100.0,65.0,4.820359600000003,1.0,0.0,0.0
3,france,20010126,20050716,14.23,3,14,200,0.01,1.0,4,0.5,0.5,0.0013912228322810849,145186.31409907457,0.8384443620018648,0.0,100.0,67.0,6.705705399999999,1.0,0.0,0.0
4,france,20010126,20050716,14.23,3,14,200,0.01,1.0,4,0.5,0.5,0.001391779385270989,145076.05706768282,0.8385670501847063,0.0,100.0,67.0,7.256440900000001,1.0,0.0,0.0
5,france,20010126,20050716,14.23,3,14,200,0.01,1.0,4,0.5,0.5,0.0013901327099748592,144979.5282616585,0.8386744623257144,0.0,100.0,67.0,7.493879800000002,1.0,0.0,0.0
1,france,20010126,20050716,14.23,4,14,200,0.01,1.0,4,0.5,0.5,0.0015371900302532172,247524.45037198332,0.9439894131611126,0.0,100.0,43.0,42.9204649,0.0,0.0,0.0
2,france,20010126,20050716,14.23,4,14,200,0.01,1.0,4,0.5,0.5,0.001544220193582465,247910.3742061332,0.9439020851400086,0.0,100.0,43.0,43.2579523,0.0,0.0,0.0
3,france,20010126,20050716,14.23,4,14,200,0.01,1.0,4,0.5,0.5,0.001532067875745625,247216.1693431319,0.9440591719316556,0.0,100.0,42.0,41.5518274,0.0,0.0,0.0
4,france,20010126,20050716,14.23,4,14,200,0.01,1.0,4,0.5,0.5,0.0015329002651147453,247291.75222282708,0.9440420688073367,0.0,100.0,42.0,41.548603,0.0,0.0,0.0
5,france,20010126,20050716,14.23,4,14,200,0.01,1.0,4,0.5,0.5,0.0015570925747777947,248609.1825893667,0.9437439566497766,0.0,100.0,43.0,42.5348881,0.0,0.0,0.0
1,france,20010126,20050716,14.23,5,14,200,0.01,1.0,4,0.5,0.5,0.002017232960808604,308254.8130557068,0.9069998575909143,0.0,100.0,51.0,50.9294335,0.0,0.0,0.0
2,france,20010126,20050716,14.23,5,14,200,0.01,1.0,4,0.5,0.5,0.002001179350847943,307424.9605788423,0.9072502231821662,0.0,100.0,50.0,50.2580524,0.0,0.0,0.0
3,france,20010126,20050716,14.23,5,14,200,0.01,1.0,4,0.5,0.5,0.0020257577929606537,308548.3650880058,0.9069112932614959,0.0,100.0,50.0,50.0777169,0.0,0.0,0.0
4,france,20010126,20050716,14.23,5,14,200,0.01,1.0,4,0.5,0.5,0.0020134247040997253,307885.0121121394,0.9071114261340747,0.0,100.0,50.0,49.6330284,0.0,0.0,0.0
5,france,20010126,20050716,14.23,5,14,200,0.01,1.0,4,0.5,0.5,0.002018263156048715,308350.06709308655,0.9069711195512595,0.0,100.0,49.0,49.4245004,0.0,0.0,0.0
1,france,20010126,20050716,14.23,6,14,200,0.01,1.0,4,0.5,0.5,0.002054850140030416,216686.66262928688,0.8621274953566453,0.0,100.0,235.0,54.76934929999999,3.0,0.0,0.0
2,france,20010126,20050716,14.23,6,14,200,0.01,1.0,4,0.5,0.5,0.0020600836787245777,216976.39244238797,0.8619431472545638,0.0,100.0,238.0,58.0110602,3.0,0.0,0.0
3,france,20010126,20050716,14.23,6,14,200,0.01,1.0,4,0.5,0.5,0.0020675424187040587,217383.03624569043,0.8616844095963307,0.0,100.0,240.0,0.08546100000000934,4.0,0.0,0.0
4,france,20010126,20050716,14.23,6,14,200,0.01,1.0,4,0.5,0.5,0.002067724021768082,217386.1517873344,0.861682427252219,0.0,100.0,235.0,54.649160800000004,3.0,0.0,0.0
5,france,20010126,20050716,14.23,6,14,200,0.01,1.0,4,0.5,0.5,0.0020777680033959283,217924.7869261477,0.8613397066861445,0.0,100.0,239.0,59.03322969999999,3.0,0.0,0.0
